央视频道,#genre#
常德新闻综合,http://223.151.51.74:9901/tsfile/live/1018_1.m3u8?key=txiptv&playlive=1&authid=0
湖南公共,http://223.159.8.213:8099/tsfile/live/1003_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://223.151.51.74:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&authid=0
湖南卫视,http://223.159.8.213:8099/tsfile/live/0128_1.m3u8?key=txiptv&playlive=0&authid=0
湖南国际,http://223.159.8.213:8099/tsfile/live/1007_1.m3u8?key=txiptv&playlive=0&authid=0
湖南国际,http://42.48.17.188:9901/tsfile/live/37229_1.m3u8?key=txiptv&playlive=1&authid=0
湖南娱乐,http://223.159.8.213:8099/tsfile/live/1000_1.m3u8?key=txiptv&playlive=0&authid=0
湖南娱乐,http://42.48.17.188:9901/tsfile/live/37221_1.m3u8?key=txiptv&playlive=1&authid=0
湖南教育,http://223.159.8.213:8099/tsfile/live/1008_1.m3u8?key=txiptv&playlive=0&authid=0
湖南教育,http://42.48.17.188:9901/tsfile/live/37223_1.m3u8?key=txiptv&playlive=1&authid=0
湖南爱晚,http://42.49.189.17:9008/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电影,http://223.159.8.213:8099/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
湖南电影,http://42.48.17.188:9901/tsfile/live/37220_1.m3u8?key=txiptv&playlive=1&authid=0
湖南电视剧,http://223.159.8.213:8099/tsfile/live/1004_1.m3u8?key=txiptv&playlive=0&authid=0
湖南电视剧,http://42.48.17.188:9901/tsfile/live/37219_1.m3u8?key=txiptv&playlive=1&authid=0
湖南经视,http://223.159.8.213:8099/tsfile/live/1006_1.m3u8?key=txiptv&playlive=0&authid=0
湖南经视,http://42.48.17.188:9901/tsfile/live/37217_1.m3u8?key=txiptv&playlive=1&authid=0
湖南都市,http://223.159.8.213:8099/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
湖南都市,http://42.48.17.188:9901/tsfile/live/37218_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://223.151.51.74:9901/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://42.49.189.17:9008/tsfile/live/0120_1.m3u8?key=txiptv&playlive=1&authid=0


港澳频道,#genre#
凤凰中文,http://117.28.177.45:8605/rtp/239.61.2.183:9086
凤凰中文,http://112.19.171.156:9999/udp/239.93.0.162:2192
凤凰中文,http://proxy.dfkj.live/alitv.php?u=min&id=1
凤凰中文,http://play-flive.ifeng.com/live/06OLEGEGM4G.flv
凤凰中文,https://play-flive.ifeng.com/live/06OLEGEGM4G.m3u8
天映电影,http://171.108.239.92:8181/tsfile/live/1009_1.m3u8
东森电影,http://171.108.239.92:8181/tsfile/live/1010_1.m3u8
龙祥电影,http://171.108.239.92:8181/tsfile/live/1011_1.m3u8
东森洋片,http://171.108.239.92:8181/tsfile/live/1016_1.m3u8
凤凰中文,http://183.237.246.14:9931/tsfile/live/1037_1.m3u8


数字频道,#genre#
古装剧场 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
惊悚悬疑 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225665/index.m3u8
爱情喜剧 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
精品大剧 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225670/index.m3u8
中国功夫 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225681/index.m3u8
潮妈辣婆 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
超级电影 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
东北热剧 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
超级电视剧 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
动作电影 8M1080,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://mywlkj.ddns.net:754/tv/cwjd.m3u8
重温经典,http://mywlkj.ddns.net:754/tv/dl/dl668/bfgd.php?id=635
重温经典,http://1.62.64.234/0b926d37065dc656266be75dd9d25565.v.smtcdns.net/zycfcdn.gdwlcloud.com/PLTV/88888888/224/3221225563/index.m3u8 
神乐剧场,https://tc-tc2-interact.douyucdn2.cn/dyliveflv1/85894rmovieChow_900p.m3u8
更新时间,#genre#
2024-04-15,url
13:44:35,url
